id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
BN-BM-MK15-KP046,Kg. Bolkiah A,Kg. Bolkiah A,kg-bolkiah-a-46,BN-BM-MK15-KP046,4.855,114.956
BN-BM-MK15-KP047,Kg. Bolkiah B,Kg. Bolkiah B,kg-bolkiah-b-47,BN-BM-MK15-KP047,4.856,114.958
BN-BM-MK15-KP134,Kg. Setia A,Kg. Setia A,kg-setia-a-134,BN-BM-MK15-KP134,BK1525,4.883,114.939
BN-BM-MK15-KP135,Kg. Setia B,Kg. Setia B,kg-setia-b-135,BN-BM-MK15-KP135,BK1725,4.9,114.888
BN-BM-MK15-KP145,Kg. Sungai Kebun,Kg. Sungai Kebun,kg-sungai-kebun-145,BN-BM-MK15-KP145,BK2325,4.88,114.943
BN-BM-MK15-KP152,Kg. Sungai Siamas,Kg. Sungai Siamas,kg-sungai-siamas-152,BN-BM-MK15-KP152,BK1925,4.877,114.947
BN-BM-MK15-KP170,Kg. Ujong Kelinik,Kg. Ujong Kelinik,kg-ujong-kelinik-170,BN-BM-MK15-KP170,BK2125,4.877,114.948
