id,name.local,name.en,name.slug,code.id,children_count.kampong,geo.lat,geo.lon
BN-BE-MK32,Mukim Bukit Sawat,Bukit Sawat,bukit-sawat-bn-be-mk32,BN-BE-MK32,10,4.553,114.584
BN-BE-MK31,Mukim Kuala Balai,Kuala Balai,kuala-balai-bn-be-mk31,BN-BE-MK31,13,4.493,114.312
BN-BE-MK30,Mukim Kuala Belait,Kuala Belait,kuala-belait-bn-be-mk30,BN-BE-MK30,8,4.563,114.225
BN-BE-MK29,Mukim Labi,Labi,labi-bn-be-mk29,BN-BE-MK29,15,4.444,114.432
BN-BE-MK36,Mukim Liang,Liang,liang-bn-be-mk36,BN-BE-MK36,21,4.629,114.468
BN-BE-MK39,Mukim Melilas,Melilas,melilas-bn-be-mk39,BN-BE-MK39,3,4.108,114.679
BN-BE-MK37,Mukim Seria,Seria,seria-bn-be-mk37,BN-BE-MK37,8,4.582,114.353
BN-BE-MK26,Mukim Sukang,Sukang,sukang-bn-be-mk26,BN-BE-MK26,5,4.34,114.706
