id,name.local,name.en,name.slug,code.id,children_count.kampong,geo.lat,geo.lon
BN-TU-MK04,Mukim Keriam,Keriam,keriam-bn-tu-mk04,BN-TU-MK04,9,4.849,114.767
BN-TU-MK25,Mukim Kiudang,Kiudang,kiudang-bn-tu-mk25,BN-TU-MK25,9,4.753,114.763
BN-TU-MK28,Mukim Lamunin,Lamunin,lamunin-bn-tu-mk28,BN-TU-MK28,11,4.677,114.698
BN-TU-MK42,NA,NA,na-bn-tu-mk42,BN-TU-MK42,2,4.856,114.872
BN-TU-MK34,Mukim Pekan Tutong,Pekan Tutong,pekan-tutong-bn-tu-mk34,BN-TU-MK34,13,4.805,114.684
BN-TU-MK27,Mukim Rambai,Rambai,rambai-bn-tu-mk27,BN-TU-MK27,10,4.481,114.754
BN-TU-MK35,Mukim Tanjong Maya,Tanjong Maya,tanjong-maya-bn-tu-mk35,BN-TU-MK35,11,4.732,114.648
BN-TU-MK33,Mukim Telisai,Telisai,telisai-bn-tu-mk33,BN-TU-MK33,12,4.719,114.573
BN-TU-MK38,Mukim Ukong,Ukong,ukong-bn-tu-mk38,BN-TU-MK38,7,4.621,114.633
