id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
BN-BM-MK05-KP020,Hutan Simpan,Hutan Simpan,hutan-simpan-20,BN-BM-MK05-KP020,4.917,114.896
BN-BM-MK05-KP015,Kg. Katok,Kg. Katok,kg-katok-15,BN-BM-MK05-KP015,BE2319,4.918,114.894
BN-BM-MK05-KP118,Kg. Rimba,Kg. Rimba,kg-rimba-118,BN-BM-MK05-KP118,4.929,114.906
BN-BM-MK05-KP954,Kg. Tungku,Kg. Tungku,kg-tungku-954,BN-BM-MK05-KP954,BE2119,4.924,114.888
BN-BM-MK05-KP022,Perumahan Negara Rimba Kawasan 1,Perumahan Negara Rimba Kawasan 1,perumahan-negara-rimba-kawasan-1-22,BN-BM-MK05-KP022,BE3319,4.961,114.899
BN-BM-MK05-KP023,Perumahan Negara Rimba Kawasan 2,Perumahan Negara Rimba Kawasan 2,perumahan-negara-rimba-kawasan-2-23,BN-BM-MK05-KP023,BE3419,4.959,114.911
BN-BM-MK05-KP025,Perumahan Negara Rimba Kawasan 3,Perumahan Negara Rimba Kawasan 3,perumahan-negara-rimba-kawasan-3-25,BN-BM-MK05-KP025,BE3519,4.963,114.92
BN-BM-MK05-KP018,Perumahan Negara Rimba Kawasan 4,Perumahan Negara Rimba Kawasan 4,perumahan-negara-rimba-kawasan-4-18,BN-BM-MK05-KP018,BE3619,4.949,114.911
BN-BM-MK05-KP028,Perumahan Negara Rimba Kawasan 5,Perumahan Negara Rimba Kawasan 5,perumahan-negara-rimba-kawasan-5-28,BN-BM-MK05-KP028,BE3819,4.969,114.906
BN-BM-MK05-KP253,STKRJ Rimba,STKRJ Rimba,stkrj-rimba-253,BN-BM-MK05-KP253,4.935,114.898
BN-BM-MK05-KP250,STKRJ Tungku Kawasan 1,STKRJ Tungku Kawasan 1,stkrj-tungku-kawasan-1-250,BN-BM-MK05-KP250,BE2519,4.919,114.9
BN-BM-MK05-KP252,STKRJ Tungku Kawasan 2,STKRJ Tungku Kawasan 2,stkrj-tungku-kawasan-2-252,BN-BM-MK05-KP252,BE2719,4.928,114.89
BN-BM-MK05-KP251,STKRJ Tungku Kawasan 3,STKRJ Tungku Kawasan 3,stkrj-tungku-kawasan-3-251,BN-BM-MK05-KP251,BE2919,4.925,114.88
