id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
BN-BM-MK06-KP031,Kawasan Jabatan-Jabatan Dan Perumahan Kerajaan,Kawasan Jabatan-Jabatan Dan Perumahan Kerajaan,kawasan-jabatan-jabatan-dan-perumahan-kerajaan-31,BN-BM-MK06-KP031,4.951,114.938
BN-BM-MK06-KP032,Kg. Anggerek Desa,Kg. Anggerek Desa,kg-anggerek-desa-32,BN-BM-MK06-KP032,BB3713,4.933,114.952
BN-BM-MK06-KP055,Kg. Burong Pingai Berakas,Kg. Burong Pingai Berakas,kg-burong-pingai-berakas-55,BN-BM-MK06-KP055,4.93,114.928
BN-BM-MK06-KP016,Kg. Jaya Bakti,Kg. Jaya Bakti,kg-jaya-bakti-16,BN-BM-MK06-KP016,BB3113,4.929,114.932
BN-BM-MK06-KP060,Kg. Jaya Setia,Kg. Jaya Setia,kg-jaya-setia-60,BN-BM-MK06-KP060,BB2713,4.933,114.933
BN-BM-MK06-KP073,Kg. Lambak A,Kg. Lambak A,kg-lambak-a-73,BN-BM-MK06-KP073,4.984,114.937
BN-BM-MK06-KP074,Kg. Lambak B,Kg. Lambak B,kg-lambak-b-74,BN-BM-MK06-KP074,4.984,114.937
BN-BM-MK06-KP075,Kg. Lambak Kiri,Kg. Lambak Kiri,kg-lambak-kiri-75,BN-BM-MK06-KP075,BB1214,4.989,114.95
BN-BM-MK06-KP093,Kg. Orang Kaya Besar Imas,Kg. Orang Kaya Besar Imas,kg-orang-kaya-besar-imas-93,BN-BM-MK06-KP093,BB4113,4.933,114.952
BN-BM-MK06-KP094,Kg. Pancha Delima,Kg. Pancha Delima,kg-pancha-delima-94,BN-BM-MK06-KP094,BB4513,4.941,114.948
BN-BM-MK06-KP109,Kg. Pengiran Siraja Muda Delima Satu,Kg. Pengiran Siraja Muda Delima Satu,kg-pengiran-siraja-muda-delima-satu-109,BN-BM-MK06-KP109,BB5113,4.944,114.955
BN-BM-MK06-KP115,Kg. Pulaie,Kg. Pulaie,kg-pulaie-115,BN-BM-MK06-KP115,BB4313,4.933,114.952
BN-BM-MK06-KP133,Kg. Serusop,Kg. Serusop,kg-serusop-133,BN-BM-MK06-KP133,BB2313,4.946,114.944
BN-BM-MK06-KP165,Kg. Terunjing,Kg. Terunjing,kg-terunjing-165,BN-BM-MK06-KP165,BB1514,4.966,114.932
BN-BM-MK06-KP019,Lapangan Terbang Antarabangsa Brunei,Lapangan Terbang Antarabangsa Brunei,lapangan-terbang-antarabangsa-brunei-19,BN-BM-MK06-KP019,4.942,114.929
BN-BM-MK06-KP958,Perkhemahan Berakas,Perkhemahan Berakas,perkhemahan-berakas-958,BN-BM-MK06-KP958,5.004,114.962
BN-BM-MK06-KP176,STKRJ Lambak Kiri,STKRJ Lambak Kiri,stkrj-lambak-kiri-176,BN-BM-MK06-KP176,BB1114,4.984,114.937
