id,level,level_name.local,level_name.en,name.local,name.en,name.slug,code.id,code.iso,parent.id,parent.name.local,parent.name.en,children_count.district,children_count.mukim,children_count.kampong,zip_codes,geo.lat,geo.lon
BN-BE,1,Daerah,District,Belait,Belait,belait-bn-be,BN-BE,,,,,,8,83,,4.392,114.581
BN-BE-MK26,2,Mukim,Subdistrict,Mukim Sukang,Sukang,sukang-bn-be-mk26,BN-BE-MK26,,BN-BE,Belait,Belait,,,5,,4.34,114.706
BN-BE-MK29,2,Mukim,Subdistrict,Mukim Labi,Labi,labi-bn-be-mk29,BN-BE-MK29,,BN-BE,Belait,Belait,,,15,,4.444,114.432
BN-BE-MK30,2,Mukim,Subdistrict,Mukim Kuala Belait,Kuala Belait,kuala-belait-bn-be-mk30,BN-BE-MK30,,BN-BE,Belait,Belait,,,8,,4.563,114.225
BN-BE-MK31,2,Mukim,Subdistrict,Mukim Kuala Balai,Kuala Balai,kuala-balai-bn-be-mk31,BN-BE-MK31,,BN-BE,Belait,Belait,,,13,,4.493,114.312
BN-BE-MK32,2,Mukim,Subdistrict,Mukim Bukit Sawat,Bukit Sawat,bukit-sawat-bn-be-mk32,BN-BE-MK32,,BN-BE,Belait,Belait,,,10,,4.553,114.584
BN-BE-MK36,2,Mukim,Subdistrict,Mukim Liang,Liang,liang-bn-be-mk36,BN-BE-MK36,,BN-BE,Belait,Belait,,,21,,4.629,114.468
BN-BE-MK37,2,Mukim,Subdistrict,Mukim Seria,Seria,seria-bn-be-mk37,BN-BE-MK37,,BN-BE,Belait,Belait,,,8,,4.582,114.353
BN-BE-MK39,2,Mukim,Subdistrict,Mukim Melilas,Melilas,melilas-bn-be-mk39,BN-BE-MK39,,BN-BE,Belait,Belait,,,3,,4.108,114.679
BN-BM,1,Daerah,District,Brunei-Muara,Brunei-Muara,brunei-muara-bn-bm,BN-BM,,,,,,19,197,,4.94,115.014
BN-BM-MK05,2,Mukim,Subdistrict,Mukim Gadong A,Gadong A,gadong-a-bn-bm-mk05,BN-BM-MK05,,BN-BM,Brunei-Muara,Brunei-Muara,,,13,,4.917,114.896
BN-BM-MK06,2,Mukim,Subdistrict,Mukim Berakas A,Berakas A,berakas-a-bn-bm-mk06,BN-BM-MK06,,BN-BM,Brunei-Muara,Brunei-Muara,,,17,,4.951,114.938
BN-BM-MK07,2,Mukim,Subdistrict,Mukim Berakas B,Berakas B,berakas-b-bn-bm-mk07,BN-BM-MK07,,BN-BM,Brunei-Muara,Brunei-Muara,,,12,,4.962,114.967
BN-BM-MK08,2,Mukim,Subdistrict,Mukim Mentiri,Mentiri,mentiri-bn-bm-mk08,BN-BM-MK08,,BN-BM,Brunei-Muara,Brunei-Muara,,,9,,4.982,114.999
BN-BM-MK09,2,Mukim,Subdistrict,Mukim Peramu,Peramu,peramu-bn-bm-mk09,BN-BM-MK09,,BN-BM,Brunei-Muara,Brunei-Muara,,,7,,4.884,114.941
BN-BM-MK10,2,Mukim,Subdistrict,Mukim Pangkalan Batu,Pangkalan Batu,pangkalan-batu-bn-bm-mk10,BN-BM-MK10,,BN-BM,Brunei-Muara,Brunei-Muara,,,14,,4.814,114.819
BN-BM-MK11,2,Mukim,Subdistrict,Mukim Kota Batu,Kota Batu,kota-batu-bn-bm-mk11,BN-BM-MK11,,BN-BM,Brunei-Muara,Brunei-Muara,,,18,,4.883,114.974
BN-BM-MK12,2,Mukim,Subdistrict,Mukim Kilanas,Kilanas,kilanas-bn-bm-mk12,BN-BM-MK12,,BN-BM,Brunei-Muara,Brunei-Muara,,,11,,4.856,114.872
