id,name.local,name.en,name.slug,code.id,children_count.kampong,geo.lat,geo.lon
BN-BM-MK06,Mukim Berakas A,Berakas A,berakas-a-bn-bm-mk06,BN-BM-MK06,17,4.951,114.938
BN-BM-MK07,Mukim Berakas B,Berakas B,berakas-b-bn-bm-mk07,BN-BM-MK07,12,4.962,114.967
BN-BM-MK17,Mukim Burong Pingai Ayer,Burong Pingai Ayer,burong-pingai-ayer-bn-bm-mk17,BN-BM-MK17,8,4.872,114.929
BN-BM-MK05,Mukim Gadong A,Gadong A,gadong-a-bn-bm-mk05,BN-BM-MK05,13,4.917,114.896
BN-BM-MK14,Mukim Gadong B,Gadong B,gadong-b-bn-bm-mk14,BN-BM-MK14,10,4.917,114.896
BN-BM-MK13,Mukim Kianggeh,Kianggeh,kianggeh-bn-bm-mk13,BN-BM-MK13,11,4.897,114.938
BN-BM-MK12,Mukim Kilanas,Kilanas,kilanas-bn-bm-mk12,BN-BM-MK12,11,4.856,114.872
BN-BM-MK11,Mukim Kota Batu,Kota Batu,kota-batu-bn-bm-mk11,BN-BM-MK11,18,4.883,114.974
BN-BM-MK16,Mukim Lumapas,Lumapas,lumapas-bn-bm-mk16,BN-BM-MK16,12,4.843,114.916
BN-BM-MK08,Mukim Mentiri,Mentiri,mentiri-bn-bm-mk08,BN-BM-MK08,9,4.982,114.999
BN-BM-MK40,NA,NA,na-bn-bm-mk40,BN-BM-MK40,12,4.856,114.872
BN-BM-MK10,Mukim Pangkalan Batu,Pangkalan Batu,pangkalan-batu-bn-bm-mk10,BN-BM-MK10,14,4.814,114.819
BN-BM-MK09,Mukim Peramu,Peramu,peramu-bn-bm-mk09,BN-BM-MK09,7,4.884,114.941
BN-BM-MK22,Mukim Saba,Saba,saba-bn-bm-mk22,BN-BM-MK22,5,4.883,114.948
BN-BM-MK18,Mukim Sengkurong,Sengkurong,sengkurong-bn-bm-mk18,BN-BM-MK18,12,4.902,114.832
BN-BM-MK19,Mukim Serasa,Serasa,serasa-bn-bm-mk19,BN-BM-MK19,5,5.019,115.059
BN-BM-MK15,Mukim Sungai Kebun,Sungai Kebun,sungai-kebun-bn-bm-mk15,BN-BM-MK15,7,4.87,114.944
BN-BM-MK20,Mukim Sungai Kedayan,Sungai Kedayan,sungai-kedayan-bn-bm-mk20,BN-BM-MK20,7,4.887,114.934
BN-BM-MK21,Mukim Tamoi,Tamoi,tamoi-bn-bm-mk21,BN-BM-MK21,7,4.878,114.928
