id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
BN-TU-MK27-KP267,Hutan Simpan Bukit Ladan,Hutan Simpan Bukit Ladan,hutan-simpan-bukit-ladan-267,BN-TU-MK27-KP267,4.481,114.754
BN-TU-MK27-KP270,Kg. Bedawan,Kg. Bedawan,kg-bedawan-270,BN-TU-MK27-KP270,TH3949,4.481,114.754
BN-TU-MK27-KP271,Kg. Belabau,Kg. Belabau,kg-belabau-271,BN-TU-MK27-KP271,TH4149,4.481,114.754
BN-TU-MK27-KP413,Kg. Benutan,Kg. Benutan,kg-benutan-413,BN-TU-MK27-KP413,TH1749,4.601,114.719
BN-TU-MK27-KP408,Kg. Kuala Ungar,Kg. Kuala Ungar,kg-kuala-ungar-408,BN-TU-MK27-KP408,TH1549,4.657,114.727
BN-TU-MK27-KP268,Kg. Lalipo,Kg. Lalipo,kg-lalipo-268,BN-TU-MK27-KP268,TH3749,4.481,114.754
BN-TU-MK27-KP406,Kg. Merimbun,Kg. Merimbun,kg-merimbun-406,BN-TU-MK27-KP406,TH1349,4.763,114.653
BN-TU-MK27-KP407,Kg. Rambai,Kg. Rambai,kg-rambai-407,BN-TU-MK27-KP407,TH1149,4.761,114.656
BN-TU-MK27-KP403,Kg. Supon Besar,Kg. Supon Besar,kg-supon-besar-403,BN-TU-MK27-KP403,TH3149,4.481,114.754
BN-TU-MK27-KP269,Kg. Supon Kechil,Kg. Supon Kechil,kg-supon-kechil-269,BN-TU-MK27-KP269,4.481,114.754
