id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
BN-TU-MK04-KP962,Kawasan Padang Tembak Binturan,Kawasan Padang Tembak Binturan,kawasan-padang-tembak-binturan-962,BN-TU-MK04-KP962,4.849,114.767
BN-TU-MK04-KP325,Kg. Bukit Panggal,Kg. Bukit Panggal,kg-bukit-panggal-325,BN-TU-MK04-KP325,TB1341,4.828,114.726
BN-TU-MK04-KP014,Kg. Ikas,Kg. Ikas,kg-ikas-14,BN-TU-MK04-KP014,TB3341,4.865,114.795
BN-TU-MK04-KP327,Kg. Keriam,Kg. Keriam,kg-keriam-327,BN-TU-MK04-KP327,TB1141,4.816,114.694
BN-TU-MK04-KP241,Kg. Kupang,Kg. Kupang,kg-kupang-241,BN-TU-MK04-KP241,TB2941,4.843,114.795
BN-TU-MK04-KP324,Kg. Luagan Dudok,Kg. Luagan Dudok,kg-luagan-dudok-324,BN-TU-MK04-KP324,4.817,114.73
BN-TU-MK04-KP240,Kg. Maraburong,Kg. Maraburong,kg-maraburong-240,BN-TU-MK04-KP240,TB3141,4.823,114.78
BN-TU-MK04-KP326,Kg. Sinaut,Kg. Sinaut,kg-sinaut-326,BN-TU-MK04-KP326,TB1741,4.816,114.746
BN-TU-MK04-KP242,Kg. Sungai Kelugos,Kg. Sungai Kelugos,kg-sungai-kelugos-242,BN-TU-MK04-KP242,TB2741,4.805,114.765
