id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
BN-TU-MK35-KP360,Kg. Bangunggos,Kg. Bangunggos,kg-bangunggos-360,BN-TU-MK35-KP360,4.735,114.658
BN-TU-MK35-KP367,Kg. Bukit Sibut,Kg. Bukit Sibut,kg-bukit-sibut-367,BN-TU-MK35-KP367,TD2741,4.762,114.662
BN-TU-MK35-KP402,Kg. Bukit Udal,Kg. Bukit Udal,kg-bukit-udal-402,BN-TU-MK35-KP402,TD2341,4.731,114.651
BN-TU-MK35-KP359,Kg. Liulon,Kg. Liulon,kg-liulon-359,BN-TU-MK35-KP359,TD2941,4.758,114.653
BN-TU-MK35-KP364,Kg. Lubok Pulau,Kg. Lubok Pulau,kg-lubok-pulau-364,BN-TU-MK35-KP364,TD2541,4.764,114.664
BN-TU-MK35-KP366,Kg. Padang,Kg. Padang,kg-padang-366,BN-TU-MK35-KP366,TD3141,4.757,114.625
BN-TU-MK35-KP363,Kg. Pemadang,Kg. Pemadang,kg-pemadang-363,BN-TU-MK35-KP363,TD1941,4.705,114.67
BN-TU-MK35-KP362,Kg. Penapar,Kg. Penapar,kg-penapar-362,BN-TU-MK35-KP362,TD1741,4.719,114.669
BN-TU-MK35-KP361,Kg. Sebakit,Kg. Sebakit,kg-sebakit-361,BN-TU-MK35-KP361,TD1341,4.739,114.667
BN-TU-MK35-KP365,Kg. Tanjong Maya,Kg. Tanjong Maya,kg-tanjong-maya-365,BN-TU-MK35-KP365,TD1141,4.749,114.665
BN-TU-MK35-KP358,Kg. Tanjong Panjang,Kg. Tanjong Panjang,kg-tanjong-panjang-358,BN-TU-MK35-KP358,TD3341,4.782,114.657
