id,name.local,name.en,name.slug,code.id,geo.lat,geo.lon
BN-TE-MK03-KP013,Hutan Simpan Batu Apoi,Hutan Simpan Batu Apoi,hutan-simpan-batu-apoi-13,BN-TE-MK03-KP013,4.624,115.129
BN-TE-MK03-KP011,Kawasan Bahaya Mukim Bokok,Kawasan Bahaya Mukim Bokok,kawasan-bahaya-mukim-bokok-11,BN-TE-MK03-KP011,4.624,115.129
BN-TE-MK03-KP229,Kg. Bakarut,Kg. Bakarut,kg-bakarut-229,BN-TE-MK03-KP229,4.624,115.129
BN-TE-MK03-KP224,Kg. Belais Besar,Kg. Belais Besar,kg-belais-besar-224,BN-TE-MK03-KP224,PE1351,4.624,115.129
BN-TE-MK03-KP223,Kg. Belais Kecil,Kg. Belais Kecil,kg-belais-kecil-223,BN-TE-MK03-KP223,PE1551,4.624,115.129
BN-TE-MK03-KP227,Kg. Bokok,Kg. Bokok,kg-bokok-227,BN-TE-MK03-KP227,PE1951,4.69,115.042
BN-TE-MK03-KP222,Kg. Buda-Buda,Kg. Buda-Buda,kg-buda-buda-222,BN-TE-MK03-KP222,PE1151,4.624,115.129
BN-TE-MK03-KP231,Kg. Kenua,Kg. Kenua,kg-kenua-231,BN-TE-MK03-KP231,PE3351,4.624,115.129
BN-TE-MK03-KP009,Kg. Lepong,Kg. Lepong,kg-lepong-9,BN-TE-MK03-KP009,4.624,115.129
BN-TE-MK03-KP228,Kg. Maniup,Kg. Maniup,kg-maniup-228,BN-TE-MK03-KP228,PE2151,4.624,115.129
BN-TE-MK03-KP226,Kg. Paya Bagangan,Kg. Paya Bagangan,kg-paya-bagangan-226,BN-TE-MK03-KP226,PE1751,4.624,115.129
BN-TE-MK03-KP225,Kg. Rataie,Kg. Rataie,kg-rataie-225,BN-TE-MK03-KP225,PE2751,4.649,115.065
BN-TE-MK03-KP010,Kg. Semabat,Kg. Semabat,kg-semabat-10,BN-TE-MK03-KP010,PE4151,4.624,115.129
BN-TE-MK03-KP230,Kg. Simbatang Bokok,Kg. Simbatang Bokok,kg-simbatang-bokok-230,BN-TE-MK03-KP230,4.624,115.129
BN-TE-MK03-KP012,Kg. Temada,Kg. Temada,kg-temada-12,BN-TE-MK03-KP012,PE4351,4.624,115.129
